id_region,nombre_region,casos_totales,casos_nuevos,casos_nuevos_sintomas,casos_nuevos_nosintomas,fallecidos_totales,fallecidos_nuevos,recuperados_totales,recuperados_nuevos
15,Arica y Parinacota,562,21,18,3,7,0,0,0
1,Tarapacá,1957,146,119,27,12,1,0,0
2,Antofagasta,2248,111,98,13,28,3,0,0
3,Atacama,202,5,4,1,0,0,0,0
4,Coquimbo,482,27,24,3,2,0,0,0
5,Valparaíso,2730,154,123,31,60,2,0,0
13,Metropolitana,69915,3904,3500,404,638,43,0,0
6,O’Higgins,705,14,13,1,14,0,0,0
7,Maule,1120,54,46,8,15,0,0,0
16,Ñuble,1205,31,26,5,22,0,0,0
8,Biobío,1677,112,96,16,10,0,0,0
9,Araucanía,1954,38,31,7,45,0,0,0
14,Los Ríos,318,9,9,0,6,0,0,0
10,Los Lagos,814,23,17,6,13,0,0,0
11,Aysén,14,2,2,0,0,0,0,0
12,Magallanes,1040,3,2,1,18,0,0,0
