,id_reg,nombre_reg,casos_nuevos,casos_totales,fallecidos_nuevos,fallecidos_totales,recuperados_nuevos,recuperados_totales
0,15,Arica y Parinacota,0,0,0,0,0,0
1,1,Tarapaca,0,0,0,0,0,0
2,2,Antofagasta,2,2,0,0,0,0
3,3,Atacama,1,1,0,0,0,0
4,4,Coquimbo,0,0,0,0,0,0
5,5,Vaparaiso,0,0,0,0,0,0
6,13,Metropolitana,11,40,0,0,0,0
7,6,Ohiggins,0,0,0,0,0,0
8,7,Maule,1,9,0,0,0,0
9,16,Nuble,2,4,0,0,0,0
10,8,Biobio,0,3,0,0,0,0
11,9,Araucania,0,0,0,0,0,0
12,14,LosRios,0,0,0,0,0,0
13,10,LosLagos,0,1,0,0,0,0
14,11,Aysen,1,1,0,0,0,0
15,12,Magallanes,0,0,0,0,0,0
