,id_reg,nombre_reg,casos_nuevos,casos_totales,fallecidos_nuevos,fallecidos_totales,recuperados_nuevos,recuperados_totales
0,15,Arica y Parinacota,1,1,0,0,0,0
1,1,Tarapaca,0,0,0,0,0,0
2,2,Antofagasta,0,2,0,0,0,0
3,3,Atacama,0,1,0,0,0,0
4,4,Coquimbo,2,2,0,0,0,0
5,5,Vaparaiso,3,4,0,0,0,0
6,13,Metropolitana,73,247,0,0,0,0
7,6,Ohiggins,2,2,0,0,0,0
8,7,Maule,3,14,0,0,0,0
9,16,Nuble,2,28,0,0,0,0
10,8,Biobio,7,14,0,0,0,0
11,9,Araucania,3,7,0,0,0,0
12,14,LosRios,0,1,0,0,0,0
13,10,LosLagos,8,16,0,0,0,0
14,11,Aysen,0,1,0,0,0,0
15,12,Magallanes,0,2,0,0,0,0
