id_reg,nombre_reg,casos_nuevos,casos_totales,fallecidos_nuevos,fallecidos_totales,recuperados_nuevos,recuperados_totales
15,Arica y Parinacota,1,3,0,0,0,0
1,Tarapaca,1,5,0,0,0,0
2,Antofagasta,1,20,0,0,0,0
3,Atacama,0,1,0,0,0,0
4,Coquimbo,1,13,0,0,0,0
5,Vaparaiso,12,44,0,0,0,0
13,Metropolitana,64,746,1,3,0,0
6,Ohiggins,3,14,0,0,0,0
7,Maule,1,31,0,0,0,0
16,Nuble,3,114,0,0,0,0
8,Biobio,14,109,0,1,0,0
9,Araucania,37,111,0,0,0,0
14,LosRios,3,14,0,0,0,0
10,LosLagos,16,60,0,0,0,0
11,Aysen,1,2,0,0,0,0
12,Magallanes,6,19,0,0,0,0
