id_reg,nombre_reg,casos_nuevos,casos_totales,fallecidos_nuevos,fallecidos_totales,recuperados_nuevos,recuperados_totales
15,Arica y Parinacota,1,2,0,0,0,0
1,Tarapaca,0,0,0,0,0,0
2,Antofagasta,1,11,0,0,0,0
3,Atacama,0,1,0,0,0,0
4,Coquimbo,2,5,0,0,0,0
5,Vaparaiso,3,16,0,0,0,0
13,Metropolitana,50,409,0,0,0,0
6,Ohiggins,1,8,0,0,0,0
7,Maule,10,25,0,0,0,0
16,Nuble,6,64,0,0,0,0
8,Biobio,5,35,0,0,0,0
9,Araucania,12,27,0,0,0,0
14,LosRios,0,1,0,0,0,0
10,LosLagos,3,23,0,0,0,0
11,Aysen,0,1,0,0,0,0
12,Magallanes,1,4,0,0,0,0
