id_reg,nombre_reg,casos_nuevos,casos_totales,fallecidos_nuevos,fallecidos_totales,recuperados_nuevos,recuperados_totales
15,Arica y Parinacota,0,0,0,0,0,0
1,Tarapaca,0,0,0,0,0,0
2,Antofagasta,0,0,0,0,0,0
3,Atacama,0,0,0,0,0,0
4,Coquimbo,0,0,0,0,0,0
5,Vaparaiso,0,0,0,0,0,0
13,Metropolitana,3,10,0,0,0,0
6,OHiggins,0,0,0,0,0,0
7,Maule,1,5,0,0,0,0
16,Nuble,0,0,0,0,0,0
8,Biobio,0,1,0,0,0,0
9,Araucania,0,0,0,0,0,0
14,Los Rios,0,0,0,0,0,0
10,LosLagos,0,1,0,0,0,0
11,Aysen,0,0,0,0,0,0
12,Magallanes,0,0,0,0,0,0
